가	각	간	갇	갈	감	갑	값	갓	갔	강
7C2		측		츰	층	치	칙	친	칠	침	칩	칫	칭	카	칵	칸
7C3	칼	캄	캉	캐	캔	캘	캠	캡	커	컥	컨	컬	컴	컵	컷	컸
7C4	케	켄	켈	켓	켜	켠	켤	켰	코	콕	콘	콜	콤	콧	콩	쾌
7C5	쿠	쿡	쿨	쿵	퀴	퀸	큐	크	큰	클	큼	키	킥	킨	킬	킴
7C6	킷	킹	타	탁	탄	탈	탐	탑	탓	탕	태	택	탠	탤	탬	탱
7C7	터	턱	턴	털	텀	텁	텅	테	텍	텐	텔	템	토	톡	톤	
7D2		톨		톰	톱	통	퇴	투	툭	툴	퉁	튀	튜	트	특	튼
7D3	틀	틈	틋	틔	티	틱	틴	틸	팀	팁	팅	파	팍	팎	판	팔
7D4	팜	팝	팟	팠	팡	팥	패	팩	팬	팽	퍼	퍽	펀	펄	펌	펐
7D5	페	펜	펠	펴	편	펼	평	폐	포	폭	폰	폴	폼	퐁	표	푸
7D6	푹	푼	풀	품	풋	풍	퓨	프	픈	플	픔	피	픽	핀	필	핌
7D7	핍	핏	핑	하	학	한	할	함	합	핫	항	해	핵	핸	햄	
7E2		햇		했	행	향	허	헌	헐	험	헛	헝	헤	헥	헨	헬
7E3	혀	혁	현	혈	혐	협	혔	형	혜	호	혹	혼	홀	홈	홉	홋
7E4	홍	화	확	환	활	홧	황	회	획	횡	효	후	훅	훈	훌	훔
7E5	훗	훤	훨	훼	휘	휠	휨	휴	흉	흐	흑	흔	흘	흙	흠	흡
7E6	흥	흩	희	흰	히	힌	힐	힘	힛						
